,Symbol - Security Name,Previous Close,Average Price,Open,High,Low,Current Close,Change (AED),Change %,No of Trading Days,No. of Trades,Trade Volume,Trade Value,High 52,Low 52,Market Capitalization,Market Capital %,Open Interest,Date
37,NIND-  National Industries Group Holding (S.A.K.),3.32,0.0,,0.0,,3.32,,,0.0,0.0,0.0,0.0,3.68,1.7,4977470206.48,1.227,,01/02/2022
38,Total of Industrials,,,,,,,,,,0.0,0.0,0.0,,,5831414206.48,,,01/02/2022
39,Insurance,,,,,,,,,,,,,,,,,,01/02/2022
40,ALLIANCE-  Alliance Insurance,383.5,0.0,,0.0,,383.5,,,0.0,0.0,0.0,0.0,0.0,0.0,383500000.0,0.095,,01/02/2022
41,AMAN-  Dubai Islamic Insurance and Reinsurance Co.,1.04,1.033,1.04,1.06,1.01,1.04,0.0,0.0,1.0,99.0,2509620.0,2591368.97,1.23,0.936,234780000.0,0.058,,01/02/2022
42,ASCANA-  Arabian Scandinavian Insurance - Takaful,1.63,0.0,,0.0,,1.63,,,0.0,0.0,0.0,0.0,1.81,1.59,251020000.0,0.062,,01/02/2022
43,ASNIC-  Al Sagr National Insurance Company,0.729,0.0,,0.0,,0.729,,,0.0,0.0,0.0,0.0,1.6,0.729,167670000.0,0.041,,01/02/2022
44,DARTAKAFUL-  Dar Al Takaful,1.18,1.26,1.26,1.26,1.26,1.26,0.08,6.78,1.0,1.0,1000.0,1260.0,1.68,0.865,189000000.0,0.047,,01/02/2022
45,"DIN-  Dubai Insurance Co , PSC",6.9,7.05,7.05,7.05,7.05,7.05,0.15,2.174,1.0,1.0,25000.0,176250.0,8.33,4.83,705000000.0,0.174,,01/02/2022
46,DNIR-  Dubai National Insurance & Reinsurance,5.7,0.0,,0.0,,5.7,,,0.0,0.0,0.0,0.0,6.0,3.8,658350000.0,0.162,,01/02/2022
47,NGI-  National General Insurance Company P.J.S.C,3.15,0.0,,0.0,,3.15,,,0.0,0.0,0.0,0.0,3.2,2.15,472355452.8,0.116,,01/02/2022
48,OIC-  Oman Insurance Company (P.S.C.),2.6,0.0,,0.0,,2.6,,,0.0,0.0,0.0,0.0,2.7,2.1,1200867525.0,0.296,,01/02/2022
49,ORIENT-  ORIENT Insurance PJSC,66.3,0.0,,0.0,,66.3,,,0.0,0.0,0.0,0.0,0.0,0.0,331500000.0,0.082,,01/02/2022
50,OUTFL-  Orient UNB Takaful PJSC,100.0,0.0,,0.0,,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,0.049,,01/02/2022
51,SALAMA-  Islamic Arab Insurance Company,0.755,0.767,0.757,0.779,0.756,0.757,0.002,0.265,1.0,30.0,1988259.0,1524677.31,0.965,0.732,915970000.0,0.226,,01/02/2022
52,TAKAFUL-EM-  Takaful Emarat (PSC),1.4,0.0,,0.0,,1.4,,,0.0,0.0,0.0,0.0,1.77,1.09,210000000.0,0.052,,01/02/2022
53,Total of Insurance,,,,,,,,,,131.0,4523879.0,4293556.28,,,5920012977.8,,,01/02/2022
54,Real Estate & Const.,,,,,,,,,,,,,,,,,,01/02/2022
55,ARTC-  Arabtec Holding PJSC,0.53,0.0,,0.0,,0.53,,,0.0,0.0,0.0,0.0,0.0,0.0,795000000.0,0.196,,01/02/2022
56,DAMAC-  DAMAC PROPERTIES DUBAI CO PJSC,1.4,1.4,1.4,1.4,1.4,1.4,0.0,0.0,1.0,1.0,980.0,1372.0,1.47,1.07,8470000000.0,2.088,,01/02/2022
57,DEYAAR-  Deyaar Development PJSC,0.476,0.474,0.479,0.48,0.47,0.475,-0.001,-0.21,1.0,76.0,5759005.0,2728338.05,0.553,0.253,2744550000.0,0.677,,01/02/2022
58,DSI-  Drake & Scull International P.J.S.C,0.37,0.0,,0.0,,0.37,,,0.0,0.0,0.0,0.0,0.0,0.0,396265466.39,0.098,,01/02/2022
59,EMAAR-  Emaar Properties PJSC,4.86,4.776,4.79,4.82,4.74,4.78,-0.08,-1.646,1.0,1029.0,20699284.0,98869897.51,5.27,3.4,39099151855.96,9.638,,01/02/2022
60,EMAARDEV-  EMAAR DEVELOPMENT PJSC,4.3,4.238,4.28,4.28,4.21,4.22,-0.08,-1.86,1.0,237.0,3886968.0,16474400.52,4.7,2.45,16880000000.0,4.161,,01/02/2022
61,MAZAYA-  Al Mazaya Holding Company,1.17,0.0,,0.0,,1.17,,,0.0,0.0,0.0,0.0,1.62,1.02,805286378.52,0.198,,01/02/2022
62,UPP-  Union Properties PJSC,0.304,0.303,0.303,0.307,0.303,0.304,0.0,0.0,1.0,81.0,7547196.0,2290063.64,0.415,0.233,1304020200.74,0.321,,01/02/2022
63,Total of Real Estate & Const.,,,,,,,,,,1424.0,37893433.0,120364071.72,,,70494273901.61,,,01/02/2022
64,Services,,,,,,,,,,,,,,,,,,01/02/2022
65,ALFIRDOUS-  Al Firdous Holdings PJSC,0.158,0.157,0.157,0.157,0.157,0.157,-0.001,-0.633,1.0,1.0,24.0,3.77,0.569,0.146,94200000.0,0.023,,01/02/2022
66,AMANAT-  AMANAT HOLDINGS PJSC,1.13,1.139,1.13,1.15,1.13,1.14,0.01,0.885,1.0,28.0,1153052.0,1312784.76,1.27,0.78,2850000000.0,0.702,,01/02/2022
67,TABREED-  National Central Cooling Co.,2.52,2.499,2.51,2.51,2.49,2.49,-0.03,-1.19,1.0,31.0,265693.0,664003.45,3.05,2.39,6911926795.35,1.704,,01/02/2022
68,Total of Services,,,,,,,,,,60.0,1418769.0,1976791.98,,,9856126795.35,,,01/02/2022
69,Telecommunication,,,,,,,,,,,,,,,,,,01/02/2022
70,AAN-  Aan Digital Services Holding Co.,0.202,0.201,0.201,0.204,0.201,0.202,0.0,0.0,1.0,15.0,2057861.0,414403.92,0.259,0.118,176213005.22,0.043,,01/02/2022
71,DU-  Emirates Integrated Telecommunications Company PJSC,6.5,6.498,6.5,6.55,6.48,6.55,0.05,0.769,1.0,35.0,274883.0,1786321.3,7.28,5.9,29690534227.95,7.318,,01/02/2022
72,Total of Telecommunication,,,,,,,,,,50.0,2332744.0,2200725.22,,,29866747233.17,,,01/02/2022
73,Transportation,,,,,,,,,,,,,,,,,,01/02/2022
74,AGLTY-  Agility The Public Warehousing Company (K.S.C.),14.0,0.0,,0.0,,14.0,,,0.0,0.0,0.0,0.0,14.0,6.89,31221500170.0,7.696,,01/02/2022
75,AIRARABIA-  Air Arabia PJSC,1.45,1.431,1.43,1.44,1.42,1.44,-0.01,-0.69,1.0,66.0,1369485.0,1959748.41,1.58,1.2,6720048000.0,1.656,,01/02/2022
76,ARMX-  ARAMEX PJSC,4.09,4.049,4.03,4.09,4.03,4.06,-0.03,-0.733,1.0,38.0,402548.0,1629971.57,4.77,3.5,5944246000.0,1.465,,01/02/2022
77,GULFNAV-  Gulf Navigation Holding PJSC,0.314,0.31,0.316,0.32,0.305,0.316,0.002,0.637,1.0,16.0,825800.0,256152.5,0.385,0.255,322070123.0,0.079,,01/02/2022
78,Total of Transportation,,,,,,,,,,120.0,2597833.0,3845872.48,,,44207864293.0,,,01/02/2022
79,Total Trades for Public Joint Stock Companies,,,,,,,,,,4191.0,118160310.0,259183474.07,,,404278082172.78,,,01/02/2022
80,Private Joint Stock Companies (PrJSC),,,,,,,,,,,,,,,,,,01/02/2022
81,BHMCAPITAL-  BHM Capital Financial Services PrJSC,1.08,0.0,,0.0,,1.08,,,0.0,0.0,0.0,0.0,1.2,0.872,187305553.44,0.046,,01/02/2022
82,Total of Private Joint Stock Companies (PrJSC),,,,,,,,,,0.0,0.0,0.0,,,187305553.44,,,01/02/2022
83,Shares Grand Total,,,,,,,,,,4191.0,118160310.0,259183474.07,,,404465387726.22,,,01/02/2022
84,Exchange Traded Funds,,,,,,,,,,,,,,,,,,01/02/2022
